id,debt,severity
5,30,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
5,20,BLOCKER
6,30,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
6,20,BLOCKER
7,30,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
7,20,BLOCKER
8,30,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
8,20,BLOCKER
9,30,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
9,20,BLOCKER
