title,amount,severity,project,description
679,1,3,1, <br>Replace this usage of Sun classes by ones from the Java API.
680,57,2,1, <br>Define a constant instead of duplicating this literal "child must not be null" 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.app.Labels" 3 times.<br>Define a constant instead of duplicating this literal "toolHandler" 4 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.draw.Labels" 4 times.<br>Define a constant instead of duplicating this literal "enabled" 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.draw.Labels" 14 times.<br>Define a constant instead of duplicating this literal "recentFiles" 3 times.<br>Define a constant instead of duplicating this literal ".constraint" 3 times.<br>Define a constant instead of duplicating this literal "toolButtonGroup" 4 times.<br>Define a constant instead of duplicating this literal "closed" 3 times.<br>Define a constant instead of duplicating this literal "font-size" 3 times.<br>Define a constant instead of duplicating this literal "rows and cols cannot both be zero" 3 times.<br>Define a constant instead of duplicating this literal "SVGDraw" 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.samples.net.Labels" 3 times.<br>Define a constant instead of duplicating this literal "dataread" 4 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.draw.Labels" 3 times.<br>Define a constant instead of duplicating this literal "projectFile" 3 times.<br>Define a constant instead of duplicating this literal "Sheet.showAsSheet" 3 times.<br>Define a constant instead of duplicating this literal " method on " 3 times.<br>Define a constant instead of duplicating this literal "liner" 3 times.<br>Define a constant instead of duplicating this literal "toggleGrid" 3 times.<br>Define a constant instead of duplicating this literal ".height" 4 times.<br>Define a constant instead of duplicating this literal "false" 4 times.<br>Define a constant instead of duplicating this literal ".visible" 3 times.<br>Define a constant instead of duplicating this literal ".width" 4 times.<br>Define a constant instead of duplicating this literal "Element " 3 times.<br>Define a constant instead of duplicating this literal "window" 3 times.<br>Define a constant instead of duplicating this literal "Cancel" 6 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.samples.pert.Labels" 3 times.<br>Define a constant instead of duplicating this literal "PlasmaDraw" 4 times.<br>Define a constant instead of duplicating this literal "DrawingClip" 4 times.<br>Define a constant instead of duplicating this literal "datawrite" 3 times.<br>Define a constant instead of duplicating this literal "Don't Save" 4 times.<br>Define a constant instead of duplicating this literal "datafile" 3 times.<br>Define a constant instead of duplicating this literal "datafile" 4 times.<br>Define a constant instead of duplicating this literal "OptionPane.css" 5 times.<br>Define a constant instead of duplicating this literal "PlasmaDraw" 5 times.<br>Define a constant instead of duplicating this literal "unnamedFile" 3 times.<br>Define a constant instead of duplicating this literal "*** Nested Exception:" 3 times.<br>Define a constant instead of duplicating this literal "actionPropertyHandler" 3 times.<br>Define a constant instead of duplicating this literal "UTF-8" 4 times.<br>Define a constant instead of duplicating this literal "attributeStrokeTypeDouble" 3 times.<br>Define a constant instead of duplicating this literal "<html>" 5 times.<br>Define a constant instead of duplicating this literal "recentFileCount" 3 times.<br>Define a constant instead of duplicating this literal "Quaqua.OptionPane.destructiveOption" 3 times.<br>Define a constant instead of duplicating this literal "Number expected" 44 times.<br>Define a constant instead of duplicating this literal " is not accessible" 9 times.
683,164,3,1, <br>This block of commented-out lines of code should be removed.
686,3,2,1, <br>Move the array designator from the variable to the type.
687,19,3,1, <br>Extract this nested code block into a method.
692,15,3,1, <br>Remove this empty statement.
697,6,2,1, <br>Replace this "switch" statement by "if" statements to increase readability.
699,12,3,1, <br>Replace this usage of System.out or System.err by a logger.
700,7,3,1, <br>Cast one of the operands of this addition operation to a "float".<br>Cast one of the operands of this addition operation to a "long".<br>Cast one of the operands of this substraction operation to a "double".<br>Cast one of the operands of this division operation to a "double".<br>Cast one of the operands of this multiplication operation to a "double".
705,66,3,1, <br>Extract the assignment out of this expression.
708,7,3,1, <br>Refactor this method to throw at most one checked exception instead of: java.io.IOException- .<br>Refactor this method to throw at most one checked exception instead of: java.lang.ClassNotFoundException- java.lang.InstantiationException- java.lang.IllegalAccessException<br>Refactor this method to throw at most one checked exception instead of: java.net.MalformedURLException- java.io.FileNotFoundException- java.io.IOException<br>Refactor this method to throw at most one checked exception instead of: java.io.FileNotFoundException- java.io.IOException
709,6,3,1, <br>Reduce the total number of break and continue statement in this loop to use at most one.
710,255,3,1, <br>Add the "@Override" annotation above this method signature
715,2,3,1, <br>Add the missing @Deprecated annotation.
720,1,4,1, <br>Either remove this useless object instantiation of class "ToolBarPrefsHandler" or use it
726,9,3,1, <br>Make this "msg" field final.<br>Make this "lineNr" field final.<br>Make this "elementName" field final.<br>Make this "encapsulatedException" field final.<br>Make this "attributeValue" field final.<br>Make this "errorType" field final.<br>Make this "systemID" field final.<br>Make this "attributeName" field final.
727,120,3,1, <br>Either log or rethrow this exception.
729,4,3,1, <br>Return an empty collection instead of null.
732,1,4,1, <br>End this switch case with an unconditional break- continue- return or throw statement.
733,1,3,1, <br>Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
734,83,3,1, <br>The Cyclomatic Complexity of this method "add" is 11 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "read" is 15 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "lineout" is 15 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getEncoding" is 20 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "locationChanged" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "show" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "actionPerformed" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "write" is 24 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "scanIdentifier" is 14 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "findSegment" is 16 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getTransform" is 36 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "trackConnectors" is 11 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "read" is 20 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "processAttList" is 16 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getColor" is 18 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "writeObject" is 19 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "processElement" is 28 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getTargetMethod" is 11 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getPerpendicularFillGrowth" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "findFigureExcept" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "toPathData" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "styleFromMessageType" is 11 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "parseDTD" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "scanIdentifier" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "createSecondaryHandles" is 15 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "intersect" is 23 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "scanElement" is 33 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "createMenuBar" is 14 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "paintBorder" is 30 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getPointOnPath" is 14 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "createStrokedShape" is 11 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "createSheet" is 15 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "read" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getDimensionValue" is 15 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "fromPathData" is 113 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "trackConnectors" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "drawParagraph" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "show" is 17 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "createMenuBar" is 16 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "toGeneralPath" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getRelativeLabelPoint" is 19 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "processEntity" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "readAttributes" is 17 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "processConditionalSection" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "writeObject" is 21 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "contains" is 14 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "drawText" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "layoutContainer" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getIcon" is 22 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "readObject" is 21 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "scanString" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "createMenuBar" is 15 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "findFigure" is 11 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "traceStroke" is 19 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "chop" is 19 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "init" is 19 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "intersect" is 18 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "createStrokedShape" is 16 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "checkCDATA" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "init" is 14 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "actionPerformed" is 19 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "equalsXMLElement" is 17 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "getStyles" is 12 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "addFontButtonsTo" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "print" is 11 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "lineout" is 13 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "skipSpecialTag" is 18 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "stream2reader" is 18 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "showPopupMenu" is 19 which is greater than 10 authorized.<br>The Cyclomatic Complexity of this method "keyPressed" is 14 which is greater than 10 authorized.
736,73,3,1, <br>Reduce this switch case number of lines from 31 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 10 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 16 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 32 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 8 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 15 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 6 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 13 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 14 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 17 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 11 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 27 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 9 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 7 to at most 5- for example by extracting code into methods.<br>Reduce this switch case number of lines from 12 to at most 5- for example by extracting code into methods.
738,88,2,1, <br>Refactor this code to not nest more than 3 if/for/while/switch/try statements.
740,1,3,1, <br>Refactor the code to remove this label and the need for it.
741,31,3,1, <br>Use isEmpty() to check whether the collection is empty or not.
742,1,3,1, <br>Replace these toUpperCase()/toLowerCase() and equals() calls with a single equalsIgnoreCase() call.
744,2,3,1, <br>Call the static method Boolean.toString(...) instead of instantiating a temporary object to perform this to string conversion.
746,37,5,1, <br>Catch Exception instead of Throwable.
751,19,3,1, <br>Rename "name" which hides the field declared at line 171.<br>Rename "reader" which hides the field declared at line 59.<br>Rename "view" which hides the field declared at line 35.<br>Rename "target" which hides the field declared at line 47.<br>Rename "bounds" which hides the field declared at line 60.<br>Rename "drawing" which hides the field declared at line 42.<br>Rename "targetFigure" which hides the field declared at line 36.<br>Rename "drawing" which hides the field declared at line 48.<br>Rename "drawing" which hides the field declared at line 37.<br>Rename "drawing" which hides the field declared at line 39.<br>Rename "reader" which hides the field declared at line 244.<br>Rename "target" which hides the field declared at line 53.<br>Rename "name" which hides the field declared at line 80.
753,6,2,1, <br>Remove this method to simply inherit it.
755,74,3,1, <br>Add a nested comment explaining why this method is empty- throw an UnsupportedOperationException or complete the implementation.
758,22,3,1, <br>Merge this if statement with the enclosing one.
760,16,3,1, <br>Reduce the number of conditional operators (10) used in the expression (maximum allowed 3).<br>Reduce the number of conditional operators (5) used in the expression (maximum allowed 3).<br>Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).
761,14,3,1, <br>Reduce this anonymous class number of lines from 65 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 23 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 26 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 67 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 33 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 22 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 49 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 32 to at most 20- or make it a named class.<br>Reduce this anonymous class number of lines from 51 to at most 20- or make it a named class.
763,45,3,1, <br>Remove this unused "visibleConstrainer" private field.<br>Remove this unused "geometry" private field.<br>Remove this unused "rainbow" private field.<br>Remove this unused "firstTimeShown" private field.<br>Remove this unused "fileChooser" private field.<br>Remove this unused "actions" private field.<br>Remove this unused "target" private field.<br>Remove this unused "dashes" private field.<br>Remove this unused "outlineWidth" private field.<br>Remove this unused "isVerbose" private field.<br>Remove this unused "instance" private field.<br>Remove this unused "start" private field.<br>Remove this unused "name" private field.<br>Remove this unused "label" private field.<br>Remove this unused "invisibleConstrainer" private field.<br>Remove this unused "toolButtonGroup" private field.<br>Remove this unused "north" private field.<br>Remove this unused "startTime" private field.<br>Remove this unused "buttonGroup1" private field.<br>Remove this unused "dashPhase" private field.<br>Remove this unused "drawing" private field.<br>Remove this unused "textLayout" private field.<br>Remove this unused "errorType" private field.<br>Remove this unused "west" private field.<br>Remove this unused "south" private field.<br>Remove this unused "entries" private field.<br>Remove this unused "VERBOSE" private field.<br>Remove this unused "startLength" private field.<br>Remove this unused "thread" private field.<br>Remove this unused "east" private field.<br>Remove this unused "dirtyFigures" private field.<br>Remove this unused "pathCommands" private field.
771,12,3,1, <br>Remove the unused method parameter(s) "cols".<br>Remove the unused method parameter(s) "join".<br>Remove the unused method parameter(s) "evt".<br>Remove the unused method parameter(s) "toggle".<br>Remove the unused method parameter(s) "project".<br>Remove the unused method parameter(s) "view".<br>Remove the unused method parameter(s) "args".<br>Remove the unused method parameter(s) "style".
774,2,3,1, <br>The Cyclomatic Complexity of this class is 287 which is greater than 200 authorized.<br>The Cyclomatic Complexity of this class is 244 which is greater than 200 authorized.
781,63,3,1, <br>Remove this unused "r" local variable.<br>Remove this unused "rbmi" local variable.<br>Remove this unused "v" local variable.<br>Remove this unused "pbstream" local variable.<br>Remove this unused "angle" local variable.<br>Remove this unused "attributes" local variable.<br>Remove this unused "f" local variable.<br>Remove this unused "group" local variable.<br>Remove this unused "saveToFile" local variable.<br>Remove this unused "endTime" local variable.<br>Remove this unused "a" local variable.<br>Remove this unused "location" local variable.<br>Remove this unused "result" local variable.<br>Remove this unused "labels" local variable.<br>Remove this unused "mantissa" local variable.<br>Remove this unused "rootElement" local variable.<br>Remove this unused "mi" local variable.<br>Remove this unused "p" local variable.<br>Remove this unused "tool" local variable.<br>Remove this unused "oldSize" local variable.<br>Remove this unused "edit" local variable.<br>Remove this unused "drawing" local variable.<br>Remove this unused "zoomButtonPanel" local variable.<br>Remove this unused "stepLength" local variable.<br>Remove this unused "count" local variable.<br>Remove this unused "found" local variable.<br>Remove this unused "type" local variable.<br>Remove this unused "oldValue" local variable.<br>Remove this unused "item" local variable.<br>Remove this unused "drawLabels" local variable.<br>Remove this unused "bounds" local variable.
782,23,3,1, <br>Add a default case to this switch.<br>Move this default to the end of the switch.
785,50,4,1, <br>Equality tests should not be made with floating point values.
788,16,2,1, <br>Immediately return this expression instead of assigning it to the temporary variable "that".<br>Immediately return this expression instead of assigning it to the temporary variable "handles".<br>Immediately return this expression instead of assigning it to the temporary variable "relativePoint".<br>Immediately return this expression instead of assigning it to the temporary variable "bounds".<br>Immediately return this expression instead of assigning it to the temporary variable "result".<br>Immediately throw this expression instead of assigning it to the temporary variable "error".<br>Immediately return this expression instead of assigning it to the temporary variable "p3".<br>Immediately return this expression instead of assigning it to the temporary variable "c".<br>Immediately return this expression instead of assigning it to the temporary variable "r".
790,40,3,1, <br>Remove those useless parentheses.
792,13,2,1, <br>Remove this unnecessary cast to "JMenuItem".<br>Remove this unnecessary cast to "double".<br>Remove this unnecessary cast to "KeyStroke".<br>Remove this unnecessary cast to "int".<br>Remove this unnecessary cast to "Icon".<br>Remove this unnecessary cast to "String".
793,20,2,1, <br>Remove this unused import 'java.util.Hashtable'.<br>Remove this unused import 'com.sun.tools.javac.jvm.Gen'.<br>Remove this unused import 'java.io.Serializable'.<br>Remove this unused import 'org.jhotdraw.app.action.SelectAllAction'.<br>Remove this unused import 'org.omg.CORBA.MARSHAL'.<br>Remove this unused import 'org.jhotdraw.geom.Geom'.<br>Remove this unused import 'org.jhotdraw.draw.FigureSelectionEvent'.<br>Remove this unused import 'java.io.Reader'.<br>Remove this unused import 'java.io.IOException'.<br>Remove this unused import 'java.awt.ActiveEvent'.<br>Remove this unused import 'java.io.StringReader'.<br>Remove this unused import 'java.io.CharArrayReader'.
796,10,3,1, <br>Add a private constructor to hide the implicit public one.<br>Hide this public constructor.
803,18,3,1, <br>Define and throw a dedicated exception instead of using a generic one.
804,37,3,1, <br>Replace the synchronized class "StringBuffer" by an unsynchronized one such as "StringBuilder".<br>Replace the synchronized class "Stack" by an unsynchronized one such as "Deque".<br>Replace the synchronized class "Hashtable" by an unsynchronized one such as "HashMap".<br>Replace the synchronized class "Vector" by an unsynchronized one such as "ArrayList" or "LinkedList".
