key,project,value,severity
699,4,130,MAJOR
699,5,158,MAJOR
699,6,179,MAJOR
699,7,182,MAJOR
699,8,188,MAJOR
699,9,186,MAJOR
699,10,199,MAJOR
699,11,194,MAJOR
810,1,1,MAJOR
810,2,1,MAJOR
810,3,3,MAJOR
810,4,5,MAJOR
810,5,8,MAJOR
810,6,6,MAJOR
810,7,7,MAJOR
810,8,9,MAJOR
810,9,8,MAJOR
810,10,8,MAJOR
810,11,8,MAJOR
738,1,88,MINOR
738,2,88,MINOR
738,3,137,MINOR
738,4,209,MINOR
738,5,226,MINOR
738,6,252,MINOR
738,7,252,MINOR
738,8,252,MINOR
738,9,229,MINOR
738,10,241,MINOR
738,11,236,MINOR
793,1,20,MINOR
793,2,20,MINOR
793,3,31,MINOR
793,4,64,MINOR
793,5,68,MINOR
793,6,69,MINOR
793,7,40,MINOR
793,8,37,MINOR
793,9,72,MINOR
793,10,20,MINOR
793,11,36,MINOR
771,1,12,MAJOR
771,2,12,MAJOR
771,3,19,MAJOR
771,4,54,MAJOR
771,5,37,MAJOR
771,6,54,MAJOR
771,7,61,MAJOR
771,8,61,MAJOR
771,9,61,MAJOR
771,10,82,MAJOR
771,11,84,MAJOR
700,1,7,MAJOR
700,2,7,MAJOR
700,3,7,MAJOR
700,4,7,MAJOR
700,5,9,MAJOR
700,6,25,MAJOR
700,7,25,MAJOR
700,8,25,MAJOR
700,9,25,MAJOR
700,10,30,MAJOR
700,11,30,MAJOR
751,1,19,MAJOR
751,2,19,MAJOR
751,3,19,MAJOR
751,4,24,MAJOR
751,5,25,MAJOR
751,6,23,MAJOR
751,7,21,MAJOR
751,8,21,MAJOR
751,9,14,MAJOR
751,10,11,MAJOR
751,11,11,MAJOR
705,1,66,MAJOR
705,2,66,MAJOR
705,3,67,MAJOR
705,4,90,MAJOR
705,5,93,MAJOR
705,6,106,MAJOR
705,7,152,MAJOR
705,8,152,MAJOR
705,9,152,MAJOR
705,10,154,MAJOR
705,11,154,MAJOR
839,1,44,MAJOR
839,2,44,MAJOR
839,3,50,MAJOR
839,4,63,MAJOR
839,5,61,MAJOR
839,6,71,MAJOR
839,7,69,MAJOR
839,8,69,MAJOR
839,9,68,MAJOR
839,10,70,MAJOR
839,11,69,MAJOR
667,1,2,MINOR
667,2,2,MINOR
667,3,2,MINOR
667,4,3,MINOR
667,5,6,MINOR
667,6,9,MINOR
667,7,8,MINOR
667,8,8,MINOR
667,9,11,MINOR
667,10,11,MINOR
667,11,11,MINOR
727,1,120,MAJOR
727,2,120,MAJOR
727,3,147,MAJOR
727,4,197,MAJOR
727,5,190,MAJOR
727,6,217,MAJOR
727,7,221,MAJOR
727,8,230,MAJOR
727,9,240,MAJOR
727,10,250,MAJOR
727,11,249,MAJOR
626,1,2,MAJOR
626,2,2,MAJOR
626,3,2,MAJOR
626,4,3,MAJOR
626,5,3,MAJOR
626,6,3,MAJOR
626,7,1,MAJOR
626,8,1,MAJOR
626,9,1,MAJOR
626,10,0,MAJOR
626,11,0,MAJOR
767,1,2,CRITICAL
767,2,2,CRITICAL
767,3,0,CRITICAL
767,4,0,CRITICAL
767,5,0,CRITICAL
767,6,0,CRITICAL
767,7,0,CRITICAL
767,8,0,CRITICAL
767,9,0,CRITICAL
767,10,0,CRITICAL
767,11,0,CRITICAL
820,1,2,MAJOR
820,2,2,MAJOR
820,3,2,MAJOR
820,4,2,MAJOR
820,5,3,MAJOR
820,6,9,MAJOR
820,7,9,MAJOR
820,8,9,MAJOR
820,9,8,MAJOR
820,10,8,MAJOR
820,11,5,MAJOR
799,1,4,MAJOR
799,2,5,MAJOR
799,3,5,MAJOR
799,4,5,MAJOR
799,5,5,MAJOR
799,6,5,MAJOR
799,7,5,MAJOR
799,8,0,MAJOR
799,9,0,MAJOR
799,10,0,MAJOR
799,11,0,MAJOR
792,1,13,MINOR
792,2,13,MINOR
792,3,12,MINOR
792,4,16,MINOR
792,5,15,MINOR
792,6,22,MINOR
792,7,36,MINOR
792,8,36,MINOR
792,9,35,MINOR
792,10,37,MINOR
792,11,25,MINOR
732,1,1,CRITICAL
732,2,1,CRITICAL
732,3,3,CRITICAL
732,4,3,CRITICAL
732,5,3,CRITICAL
732,6,3,CRITICAL
732,7,3,CRITICAL
732,8,3,CRITICAL
732,9,0,CRITICAL
732,10,0,CRITICAL
732,11,0,CRITICAL
785,1,50,CRITICAL
785,2,50,CRITICAL
785,3,74,CRITICAL
785,4,86,CRITICAL
785,5,110,CRITICAL
785,6,140,CRITICAL
785,7,143,CRITICAL
785,8,143,CRITICAL
785,9,132,CRITICAL
785,10,135,CRITICAL
785,11,135,CRITICAL
782,1,23,MAJOR
782,2,23,MAJOR
782,3,26,MAJOR
782,4,31,MAJOR
782,5,36,MAJOR
782,6,83,MAJOR
782,7,86,MAJOR
782,8,87,MAJOR
782,9,86,MAJOR
782,10,94,MAJOR
782,11,93,MAJOR
686,1,3,MINOR
686,2,3,MINOR
686,3,18,MINOR
686,4,28,MINOR
686,5,26,MINOR
686,6,37,MINOR
686,7,39,MINOR
686,8,39,MINOR
686,9,25,MINOR
686,10,32,MINOR
686,11,32,MINOR
692,1,15,MAJOR
692,2,15,MAJOR
692,3,7,MAJOR
692,4,17,MAJOR
692,5,17,MAJOR
692,6,17,MAJOR
692,7,18,MAJOR
692,8,18,MAJOR
692,9,18,MAJOR
692,10,20,MAJOR
692,11,19,MAJOR
787,1,1,MINOR
787,2,2,MINOR
787,3,4,MINOR
787,4,12,MINOR
787,5,12,MINOR
787,6,12,MINOR
787,7,9,MINOR
787,8,9,MINOR
787,9,9,MINOR
787,10,0,MINOR
787,11,0,MINOR
648,1,2,MAJOR
648,2,2,MAJOR
648,3,2,MAJOR
648,4,2,MAJOR
648,5,2,MAJOR
648,6,2,MAJOR
648,7,2,MAJOR
648,8,2,MAJOR
648,9,2,MAJOR
648,10,2,MAJOR
648,11,3,MAJOR
715,1,2,MAJOR
715,2,2,MAJOR
715,3,4,MAJOR
715,4,5,MAJOR
715,5,5,MAJOR
715,6,5,MAJOR
715,7,5,MAJOR
715,8,5,MAJOR
715,9,5,MAJOR
715,10,4,MAJOR
715,11,4,MAJOR
831,1,175,MAJOR
831,2,175,MAJOR
831,3,153,MAJOR
831,4,293,MAJOR
831,5,248,MAJOR
831,6,195,MAJOR
831,7,180,MAJOR
831,8,179,MAJOR
831,9,120,MAJOR
831,10,97,MAJOR
831,11,84,MAJOR
733,1,1,MAJOR
733,2,1,MAJOR
733,3,8,MAJOR
733,4,8,MAJOR
733,5,8,MAJOR
733,6,9,MAJOR
733,7,9,MAJOR
733,8,9,MAJOR
733,9,3,MAJOR
733,10,3,MAJOR
733,11,3,MAJOR
823,1,37,MINOR
823,2,37,MINOR
823,3,40,MINOR
823,4,48,MINOR
823,5,53,MINOR
823,6,75,MINOR
823,7,73,MINOR
823,8,73,MINOR
823,9,68,MINOR
823,10,70,MINOR
823,11,72,MINOR
736,1,73,MAJOR
736,2,73,MAJOR
736,3,84,MAJOR
736,4,116,MAJOR
736,5,170,MAJOR
736,6,328,MAJOR
736,7,325,MAJOR
736,8,327,MAJOR
736,9,325,MAJOR
736,10,340,MAJOR
736,11,342,MAJOR
809,1,4,MAJOR
809,2,4,MAJOR
809,3,12,MAJOR
809,4,21,MAJOR
809,5,23,MAJOR
809,6,28,MAJOR
809,7,30,MAJOR
809,8,30,MAJOR
809,9,26,MAJOR
809,10,31,MAJOR
809,11,31,MAJOR
763,1,45,MAJOR
763,2,45,MAJOR
763,3,47,MAJOR
763,4,66,MAJOR
763,5,71,MAJOR
763,6,85,MAJOR
763,7,84,MAJOR
763,8,83,MAJOR
763,9,81,MAJOR
763,10,83,MAJOR
763,11,80,MAJOR
841,1,41,INFO
841,2,42,INFO
841,3,42,INFO
841,4,42,INFO
841,5,42,INFO
841,6,42,INFO
841,7,42,INFO
841,8,42,INFO
841,9,42,INFO
841,10,0,INFO
841,11,0,INFO
844,1,25,MAJOR
844,2,25,MAJOR
844,3,43,MAJOR
844,4,43,MAJOR
844,5,43,MAJOR
844,6,73,MAJOR
844,7,73,MAJOR
844,8,74,MAJOR
844,9,67,MAJOR
844,10,83,MAJOR
844,11,84,MAJOR
808,1,80,MAJOR
808,2,80,MAJOR
808,3,78,MAJOR
808,4,135,MAJOR
808,5,149,MAJOR
808,6,208,MAJOR
808,7,208,MAJOR
808,8,207,MAJOR
808,9,207,MAJOR
808,10,219,MAJOR
808,11,220,MAJOR
817,1,2,CRITICAL
817,2,2,CRITICAL
817,3,0,CRITICAL
817,4,0,CRITICAL
817,5,0,CRITICAL
817,6,0,CRITICAL
817,7,0,CRITICAL
817,8,0,CRITICAL
817,9,0,CRITICAL
817,10,0,CRITICAL
817,11,0,CRITICAL
660,1,2,CRITICAL
660,2,2,CRITICAL
660,3,2,CRITICAL
660,4,2,CRITICAL
660,5,2,CRITICAL
660,6,2,CRITICAL
660,7,0,CRITICAL
660,8,0,CRITICAL
660,9,0,CRITICAL
660,10,0,CRITICAL
660,11,0,CRITICAL
827,1,43,CRITICAL
827,2,43,CRITICAL
827,3,57,CRITICAL
827,4,85,CRITICAL
827,5,86,CRITICAL
827,6,92,CRITICAL
827,7,94,CRITICAL
827,8,97,CRITICAL
827,9,101,CRITICAL
827,10,106,CRITICAL
827,11,103,CRITICAL
753,1,6,MINOR
753,2,6,MINOR
753,3,6,MINOR
753,4,6,MINOR
753,5,5,MINOR
753,6,6,MINOR
753,7,6,MINOR
753,8,6,MINOR
753,9,5,MINOR
753,10,7,MINOR
753,11,7,MINOR
741,1,31,MAJOR
741,2,31,MAJOR
741,3,39,MAJOR
741,4,52,MAJOR
741,5,44,MAJOR
741,6,51,MAJOR
741,7,52,MAJOR
741,8,52,MAJOR
741,9,52,MAJOR
741,10,52,MAJOR
741,11,52,MAJOR
628,1,1,BLOCKER
628,2,1,BLOCKER
628,3,1,BLOCKER
628,4,1,BLOCKER
628,5,1,BLOCKER
628,6,1,BLOCKER
628,7,1,BLOCKER
628,8,1,BLOCKER
628,9,1,BLOCKER
628,10,1,BLOCKER
628,11,1,BLOCKER
697,1,6,MINOR
697,2,6,MINOR
697,3,8,MINOR
697,4,9,MINOR
697,5,9,MINOR
697,6,26,MINOR
697,7,27,MINOR
697,8,28,MINOR
697,9,28,MINOR
697,10,29,MINOR
697,11,28,MINOR
729,1,4,MAJOR
729,2,4,MAJOR
729,3,4,MAJOR
729,4,4,MAJOR
729,5,4,MAJOR
729,6,4,MAJOR
729,7,5,MAJOR
729,8,5,MAJOR
729,9,5,MAJOR
729,10,6,MAJOR
729,11,3,MAJOR
631,1,2,CRITICAL
631,2,2,CRITICAL
631,3,2,CRITICAL
631,4,2,CRITICAL
631,5,2,CRITICAL
631,6,2,CRITICAL
631,7,2,CRITICAL
631,8,2,CRITICAL
631,9,0,CRITICAL
631,10,0,CRITICAL
631,11,0,CRITICAL
632,1,1,MAJOR
632,2,4,MAJOR
632,3,4,MAJOR
632,4,4,MAJOR
632,5,4,MAJOR
632,6,4,MAJOR
632,7,3,MAJOR
632,8,3,MAJOR
632,9,0,MAJOR
632,10,0,MAJOR
632,11,0,MAJOR
726,1,9,MAJOR
726,2,9,MAJOR
726,3,8,MAJOR
726,4,8,MAJOR
726,5,8,MAJOR
726,6,8,MAJOR
726,7,8,MAJOR
726,8,8,MAJOR
726,9,8,MAJOR
726,10,8,MAJOR
726,11,8,MAJOR
734,1,83,MAJOR
734,2,83,MAJOR
734,3,105,MAJOR
734,4,148,MAJOR
734,5,168,MAJOR
734,6,227,MAJOR
734,7,232,MAJOR
734,8,236,MAJOR
734,9,228,MAJOR
734,10,236,MAJOR
734,11,233,MAJOR
755,1,74,MAJOR
755,2,74,MAJOR
755,3,81,MAJOR
755,4,89,MAJOR
755,5,94,MAJOR
755,6,147,MAJOR
755,7,150,MAJOR
755,8,150,MAJOR
755,9,146,MAJOR
755,10,149,MAJOR
755,11,177,MAJOR
720,1,1,CRITICAL
